chinese,pinyin,definition
文明,wén míng,civilization; civilized
之,zhī,Literary counterpart of 的
文字,wén zì,character
记载,jì zǎi,to put down in writing; to record; record; account
参观,cān guān,to visit; look around
其中,qí zhōng,among; included in these
部分,bù fen,section; part
朝代,cháo dài,dynasty
伟大,wěi dà,great; mighty
思想,sī xiǎng,thinking; ideology; thoughts
展厅,zhǎn tīng,exhibition hall; gallery
皇帝,huáng dì,emperor
统一,tǒng yī,to unify; to unite; unified; centralized
贡献,gòng xiàn,to contribute / to dedicate / to devote / contribution
修,xiū,to build; repair; fix
杀,shā,to kill
烧,shāo,to burn; to set fire to; to cook
宫殿,gōng diàn,palace
坟墓,fén mù,grave; tomb
兵马俑,bīng mǎ yǒng,terracotta warriors and horses
发展,fā zhǎn,to develop
丝绸,sī chóu,silk; silk fabric
关系,guān xì,relations; connection
进行,jìn xíng,to carry out
贸易,mào yì,to trade
诗,shī,poetry; poem
诗人,shī rén,poet
发达,fā dá,developed; flourishing
技术,jì shù,technology
曾经,céng jīng,once; at some time in the past
先进,xiān jìn,advanced
发明,fā míng,invent; invention
造纸,zào zhǐ,to make paper
火药,huǒ yào,gunpowder
指南针,zhǐ nán zhēn,compass
活字印刷,huó zì yìn shuā,moveable-type printing; letterpress printing
领导,lǐng dǎo,lead; leading; to lead; leadership
革命,gé mìng,revolution
建立,jiàn lì,to build; to establish
孔子,kǒng zǐ,Confucius
秦朝,qín cháo,Qin Dynasty
秦始皇,qín shǐ huáng,First Emperor of the Qin Dynasty
汉朝,hàn cháo,Han Dynasty
西方,xī fāng,the West
唐朝,táng cháo,Tang Dynasty
李白,lǐ bái,Chinese poet of the Tang dynasty
宋朝,sòng cháo,Song Dynasty
清朝,qīng cháo,Qing Dynasty
孙中山,sūn zhōng shān,Sun Yat-sen
中华民国,zhōng huá mín guó,Republic of China
